UF,CIDADE,%,Preço Cliente Prop (arredon),Preço Real Prop,Dt Cadas Propost,ID Barco,Nome do Barco,Dias da Semana,Preço Barqueiro,Nome do Roteiro,Tempo Embarcado (H),Cap. Barco,N. Pessoas,OBS,Espécies,Modalidade,Local de Embarque,Hora Saída ,Cortesia,Vitrine?,Preço,Tempo ,Capacidad,Roteiro,Modalidade2
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,sábado; feriado,2900,Bóia da USP,22,15,15,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,domingo; seg; ter; qua; qui; sex,1200,Poção,21,15,15,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,domingo; seg; ter; qua; qui; sex,1200,Ponta da Sela,21,15,15,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,domingo; seg; ter; qua; qui; sex,1500,Búzios,21,15,15,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,domingo; seg; ter; qua; qui; sex,1500,Castelhanos,21,15,15,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,domingo; seg; ter; qua; qui; sex,1800,Vitória,22,15,15,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,domingo; seg; ter; qua; qui; sex,1800,Sombrio,22,15,15,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,domingo; seg; ter; qua; qui; sex,1800,Bonete,22,15,15,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,domingo; seg; ter; qua; qui; sex,2000,Farol do Boi,22,15,15,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1574,Mar Aberto,domingo; seg; ter; qua; qui; sex,2200,Bóia da USP,22,15,15,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,sábado; feriado,1500,Poção,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,sábado; feriado,1500,Ponta da Sela,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,sábado; feriado,1700,Búzios,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,sábado; feriado,1700,Castelhanos,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,sábado; feriado,1900,Vitória,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,sábado; feriado,1900,Sombrio,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,sábado; feriado,1900,Bonete,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,sábado; feriado,2100,Farol do Boi,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,sábado; feriado,2300,Bóia da USP,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,domingo; seg; ter; qua; qui; sex,1000,Poção,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,domingo; seg; ter; qua; qui; sex,1000,Ponta da Sela,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,domingo; seg; ter; qua; qui; sex,1300,Búzios,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,domingo; seg; ter; qua; qui; sex,1300,Castelhanos,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,domingo; seg; ter; qua; qui; sex,1600,Vitória,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,domingo; seg; ter; qua; qui; sex,1600,Sombrio,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,domingo; seg; ter; qua; qui; sex,1600,Bonete,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,domingo; seg; ter; qua; qui; sex,1800,Farol do Boi,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1578,Givana,domingo; seg; ter; qua; qui; sex,2000,Bóia da USP,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,sábado; feriado,1500,Poção,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,sábado; feriado,1500,Ponta da Sela,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,sábado; feriado,1700,Búzios,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,sábado; feriado,1700,Castelhanos,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,sábado; feriado,1900,Vitória,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,sábado; feriado,1900,Sombrio,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,sábado; feriado,1900,Bonete,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,sábado; feriado,2100,Farol do Boi,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,sábado; feriado,2300,Bóia da USP,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,domingo; seg; ter; qua; qui; sex,1000,Poção,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,domingo; seg; ter; qua; qui; sex,1000,Ponta da Sela,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,domingo; seg; ter; qua; qui; sex,1300,Búzios,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,domingo; seg; ter; qua; qui; sex,1300,Castelhanos,21,12,12,-,,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,domingo; seg; ter; qua; qui; sex,1600,Vitória,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,domingo; seg; ter; qua; qui; sex,1600,Sombrio,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,domingo; seg; ter; qua; qui; sex,1600,Bonete,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,domingo; seg; ter; qua; qui; sex,1800,Farol do Boi,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1566,Bom Abrigo II,domingo; seg; ter; qua; qui; sex,2000,Bóia da USP,22,12,12,-,,Alto Mar,Pier da Figueira,9h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,sábado; feriado,2300,Poção,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,sábado; feriado,2300,Ponta da Sela,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,sábado; feriado,2600,Búzios,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,sábado; feriado,2600,Castelhanos,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,sábado; feriado,3000,Vitória,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,sábado; feriado,3000,Sombrio,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,sábado; feriado,3000,Bonete,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,sábado; feriado,3200,Farol do Boi,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,sábado; feriado,3200,Montão do Trigo,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,domingo; seg; ter; qua; qui; sex,1700,Poção,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
SP,São Sebastião,não,,,27/05/2024,1510,5 Estrelas,domingo; seg; ter; qua; qui; sex,1700,Ponta da Sela,21,20,20,"obs: geradores + refletores R$ 300,00 Locação Diária",,Alto Mar,Pier da Figueira,10h da manhã,,,,,,,
